扫描单,条码,时间
发货-17021401,3323165249250,2017-02-14 16:43:43
发货-17021401,3323167280211,2017-02-14 16:43:50
发货-17021401,3323153245524,2017-02-14 16:43:54
发货-17021401,3323153284800,2017-02-14 16:43:56
发货-17021401,3323153099279,2017-02-14 16:43:59
发货-17021401,3323153213575,2017-02-14 16:44:02
发货-17021401,3323153323581,2017-02-14 16:44:06
发货-17021401,3323153397146,2017-02-14 16:44:11
发货-17021401,3323153323519,2017-02-14 16:44:14
发货-17021401,3323153396694,2017-02-14 16:44:18
发货-17021401,3323165434925,2017-02-14 16:44:20
发货-17021401,3323165136597,2017-02-14 16:44:23
发货-17021401,3323167062491,2017-02-14 16:44:30
发货-17021401,3323167430137,2017-02-14 16:44:33
发货-17021401,3323167203366,2017-02-14 16:44:36
发货-17021401,3323153432131,2017-02-14 16:44:40
发货-17021401,400039685814,2017-02-14 16:44:46
发货-17021401,400039685831,2017-02-14 16:44:50
发货-17021401,400039685830,2017-02-14 16:44:52
发货-17021401,400039685802,2017-02-14 16:44:55
发货-17021401,427537681572,2017-02-14 16:49:57
发货-17021401,427537421150,2017-02-14 16:50:00
发货-17021401,427537681829,2017-02-14 16:50:03
发货-17021401,427537721439,2017-02-14 16:50:05
发货-17021401,427537459117,2017-02-14 16:50:08
发货-17021401,427537492478,2017-02-14 16:50:10
发货-17021401,427537526761,2017-02-14 16:50:13
发货-17021401,427537390816,2017-02-14 16:50:17
发货-17021401,427537459427,2017-02-14 16:50:19
发货-17021401,427537526988,2017-02-14 16:50:22
发货-17021401,427537422141,2017-02-14 16:50:25
发货-17021401,427537422216,2017-02-14 16:50:28
发货-17021401,427537493413,2017-02-14 16:50:31
发货-17021401,427537460356,2017-02-14 16:50:34
发货-17021401,427537604162,2017-02-14 16:50:38
发货-17021401,3323281524161,2017-02-14 16:50:46
发货-17021401,3323281565355,2017-02-14 16:50:49
发货-17021401,3323281456355,2017-02-14 16:50:53
发货-17021401,3323281456409,2017-02-14 16:50:56
发货-17021401,3323281642503,2017-02-14 16:51:01
发货-17021401,3323281565800,2017-02-14 16:51:05
发货-17021401,3323281383029,2017-02-14 16:51:08
发货-17021401,3323281456630,2017-02-14 16:51:11
发货-17021401,3323281494284,2017-02-14 16:51:14
发货-17021401,3323281642862,2017-02-14 16:51:16
发货-17021401,3323281713295,2017-02-14 16:51:19
发货-17021401,3323281753241,2017-02-14 16:51:22
发货-17021401,3323281424000,2017-02-14 16:51:25
发货-17021401,3323281457166,2017-02-14 16:51:27
发货-17021401,3323281424047,2017-02-14 16:51:30
发货-17021401,3323281494867,2017-02-14 16:51:35
发货-17021401,3323281679504,2017-02-14 16:51:37
发货-17021401,3323281383704,2017-02-14 16:51:46
发货-17021401,3323281713696,2017-02-14 16:51:54
发货-17021401,3323281525361,2017-02-14 16:52:00
发货-17021401,3323281753990,2017-02-14 16:52:03
发货-17021401,3323281424552,2017-02-14 16:52:07
发货-17021401,3323281457755,2017-02-14 16:52:11
发货-17021401,3323281567068,2017-02-14 16:52:17
发货-17021401,3323281754090,2017-02-14 16:52:20
发货-17021401,3323281495805,2017-02-14 16:52:23
发货-17021401,3323281644710,2017-02-14 16:52:28
发货-17021401,3323281680341,2017-02-14 16:52:32
发货-17021401,3323281458410,2017-02-14 16:52:35
发货-17021401,3323281714525,2017-02-14 16:52:40
发货-17021401,3323281526032,2017-02-14 16:52:46
发货-17021401,3323281459153,2017-02-14 16:52:59
发货-17021401,3323281792746,2017-02-14 16:53:02
发货-17021401,3323281680810,2017-02-14 16:53:05
发货-17021401,3323281604957,2017-02-14 16:53:08
发货-17021401,3323281425831,2017-02-14 16:53:12
发货-17021401,3323281568256,2017-02-14 16:53:15
发货-17021401,3323281385867,2017-02-14 16:53:17
发货-17021401,3323281755343,2017-02-14 16:53:23
发货-17021401,3323281715294,2017-02-14 16:53:26
发货-17021401,3323281568736,2017-02-14 16:53:29
发货-17021401,3323281793843,2017-02-14 16:53:32
发货-17021401,3323281715543,2017-02-14 16:53:35
发货-17021401,3323281460044,2017-02-14 16:53:38
发货-17021401,3323281646343,2017-02-14 16:53:42
发货-17021401,3323282024867,2017-02-14 18:58:00
发货-17021401,3323282100244,2017-02-14 18:58:03
发货-17021401,3323282361139,2017-02-14 18:58:13
发货-17021401,3323282291785,2017-02-14 18:58:19
