扫描单,条码,时间
发货-17021401,3323249299159,2017-02-14 11:06:04
发货-17021401,3323249555847,2017-02-14 11:06:08
发货-17021401,3323249484193,2017-02-14 11:06:10
发货-17021401,3323249445544,2017-02-14 11:06:13
发货-17021401,3323249370906,2017-02-14 11:06:16
发货-17021401,3323249519693,2017-02-14 11:06:19
发货-17021401,3323249519851,2017-02-14 11:06:22
发货-17021401,3323249268386,2017-02-14 11:06:25
发货-17021401,3323249631947,2017-02-14 11:06:27
发货-17021401,3323249229968,2017-02-14 11:06:36
发货-17021401,3323249485381,2017-02-14 11:06:39
发货-17021401,3323249485265,2017-02-14 11:06:42
发货-17021401,3323249595222,2017-02-14 11:22:12
发货-17021401,3323249371201,2017-02-14 11:22:15
发货-17021401,3323249447452,2017-02-14 13:40:18
发货-17021401,3323249408001,2017-02-14 13:40:22
发货-17021401,3323249632527,2017-02-14 13:40:25
发货-17021401,3323249446999,2017-02-14 13:40:28
发货-17021401,3323249632667,2017-02-14 13:40:31
发货-17021401,3323249300883,2017-02-14 13:40:34
发货-17021401,3323249371924,2017-02-14 13:40:37
发货-17021401,3323249329991,2017-02-14 13:40:39
发货-17021401,3323249556737,2017-02-14 13:40:42
发货-17021401,3323249671292,2017-02-14 13:40:46
发货-17021401,427479140803,2017-02-14 13:59:19
发货-17021401,427479170125,2017-02-14 13:59:21
发货-17021401,427479066286,2017-02-14 13:59:24
发货-17021401,427479786342,2017-02-14 13:59:27
发货-17021401,427479287526,2017-02-14 14:02:50
发货-17021401,427479101659,2017-02-14 14:02:56
发货-17021401,427479323127,2017-02-14 14:02:59
发货-17021401,427479068082,2017-02-14 14:03:01
发货-17021401,427479143212,2017-02-14 14:03:04
发货-17021401,427479032786,2017-02-14 14:06:13
发货-17021401,427479033239,2017-02-14 14:06:16
发货-17021401,427479212346,2017-02-14 14:06:18
发货-17021401,427479170696,2017-02-14 14:07:15
发货-17021401,427478991517,2017-02-14 14:07:18
发货-17021401,427478991315,2017-02-14 14:07:28
发货-17021401,427479066710,2017-02-14 14:07:45
发货-17021401,427479170246,2017-02-14 14:07:49
发货-17021401,427479250998,2017-02-14 14:13:53
发货-17021401,427479288342,2017-02-14 14:13:55
发货-17021401,427478956236,2017-02-14 14:13:58
发货-17021401,427478954910,2017-02-14 14:14:02
发货-17021401,427479670926,2017-02-14 14:17:51
发货-17021401,427479143889,2017-02-14 14:17:53
发货-17021401,427479709235,2017-02-14 14:17:56
发货-17021401,427480056844,2017-02-14 14:17:59
发货-17021401,427479102394,2017-02-14 14:18:01
发货-17021401,3323281155265,2017-02-14 16:32:26
发货-17021401,3323280862979,2017-02-14 16:32:31
发货-17021401,3323280862985,2017-02-14 16:32:36
发货-17021401,3323280863109,2017-02-14 16:32:42
发货-17021401,3323281155423,2017-02-14 16:32:47
发货-17021401,3323281116938,2017-02-14 16:32:52
发货-17021401,3323281192061,2017-02-14 16:32:56
发货-17021401,3323280973553,2017-02-14 16:33:01
发货-17021401,3323280973595,2017-02-14 16:33:20
发货-17021401,3323280823176,2017-02-14 16:33:29
发货-17021401,3323280973668,2017-02-14 16:33:34
发货-17021401,3323281040128,2017-02-14 16:34:09
发货-17021401,3323280863559,2017-02-14 16:34:14
发货-17021401,3323280937659,2017-02-14 16:34:19
发货-17021401,3323281156131,2017-02-14 16:34:27
发货-17021401,3323280863857,2017-02-14 16:34:34
发货-17021401,3323281117348,2017-02-14 16:34:38
发货-17021401,427535717442,2017-02-14 16:49:18
发货-17021401,427535834292,2017-02-14 16:49:21
发货-17021401,427535796418,2017-02-14 16:49:25
发货-17021401,427535909374,2017-02-14 16:49:33
发货-17021401,427535872069,2017-02-14 16:49:36
发货-17021401,427535949459,2017-02-14 16:49:40
发货-17021401,427535759045,2017-02-14 16:49:43
发货-17021401,427535759146,2017-02-14 16:49:47
发货-17021401,427535718402,2017-02-14 16:49:50
发货-17021401,427535872386,2017-02-14 16:49:53
发货-17021401,427536083476,2017-02-14 16:49:56
发货-17021401,427536121961,2017-02-14 16:50:01
发货-17021401,427535873075,2017-02-14 16:50:04
发货-17021401,427536044059,2017-02-14 16:50:07
发货-17021401,427536122402,2017-02-14 16:50:11
发货-17021401,427535798069,2017-02-14 16:50:13
发货-17021401,427535911406,2017-02-14 16:50:17
发货-17021401,427535836190,2017-02-14 16:50:20
发货-17021401,427536084316,2017-02-14 16:50:32
发货-17021401,3323283436709,2017-02-14 17:04:11
发货-17021401,3323283363421,2017-02-14 17:04:14
发货-17021401,3323283293124,2017-02-14 17:04:17
发货-17021401,3323283363378,2017-02-14 17:04:20
发货-17021401,3323283436450,2017-02-14 17:04:24
发货-17021401,3323283399665,2017-02-14 17:04:27
发货-17021401,427540748348,2017-02-14 17:07:05
发货-17021401,427540709014,2017-02-14 17:14:11
发货-17021401,3323283236295,2017-02-14 17:31:48
发货-17021401,3323286074900,2017-02-14 17:42:24
发货-17021401,3323285769876,2017-02-14 17:42:27
发货-17021401,3323285995325,2017-02-14 17:42:31
发货-17021401,427546471424,2017-02-14 18:02:49
